As-Of-Date,Symbol,Name,% of Assets,Market Value
2021-02-28,CARR,CARRIER GLOBAL CORP COMMON STOCK USD.01,0.3195836500,2057954.0800000000
2021-02-28,ADM,ARCHER DANIELS MIDLAND CO COMMON STOCK,0.3158014000,2033598.3600000000
2021-02-28,PCAR,PACCAR INC COMMON STOCK USD1.0,0.3109026600,2002052.9700000000
2021-02-28,XEL,XCEL ENERGY INC COMMON STOCK USD2.5,0.3103243800,1998329.1300000000
2021-02-28,PTON,PELOTON INTERACTIVE INC A COMMON STOCK USD.000025,0.3083081400,1985345.6000000000
2021-02-28,DAL,DELTA AIR LINES INC COMMON STOCK USD.0001,0.3079051300,1982750.4600000000
2021-02-28,TDG,TRANSDIGM GROUP INC COMMON STOCK USD.01,0.3034923900,1954334.6300000000
2021-02-28,OKTA,OKTA INC COMMON STOCK,0.3028434100,1950155.5500000000
2021-02-28,PXD,PIONEER NATURAL RESOURCES CO COMMON STOCK USD.01,0.3020549700,1945078.4400000000
2021-02-28,MSI,MOTOROLA SOLUTIONS INC COMMON STOCK USD.01,0.3006561700,1936070.8400000000
2021-02-28,RNG,RINGCENTRAL INC CLASS A COMMON STOCK USD.0001,0.2997921200,1930506.8000000000
2021-02-28,SWKS,SKYWORKS SOLUTIONS INC COMMON STOCK USD.25,0.2987007500,1923478.9400000000
2021-02-28,PAYX,PAYCHEX INC COMMON STOCK USD.01,0.2944172200,1895895.2600000000
2021-02-28,ANSS,ANSYS INC COMMON STOCK USD.01,0.2942597800,1894881.4300000000
2021-02-28,DFS,DISCOVER FINANCIAL SERVICES COMMON STOCK USD.01,0.2903986200,1870017.5300000000
2021-02-28,GLW,CORNING INC COMMON STOCK USD.5,0.2887707300,1859534.7200000000
2021-02-28,CTAS,CINTAS CORP COMMON STOCK,0.2883532700,1856846.5000000000
2021-02-28,FRC,FIRST REPUBLIC BANK/CA COMMON STOCK USD.01,0.2866214100,1845694.2500000000
2021-02-28,WLTW,WILLIS TOWERS WATSON PLC COMMON STOCK USD.000304635,0.2859983500,1841682.0800000000
2021-02-28,WELL,WELLTOWER INC REIT USD1.0,0.2859725500,1841515.9000000000
2021-02-28,ROK,ROCKWELL AUTOMATION INC COMMON STOCK USD1.0,0.2841012300,1829465.6000000000
2021-02-28,WMB,WILLIAMS COS INC COMMON STOCK USD1.0,0.2797804600,1801642.0400000000
2021-02-28,RMD,RESMED INC COMMON STOCK USD.004,0.2783558700,1792468.4400000000
2021-02-28,MCK,MCKESSON CORP COMMON STOCK USD.01,0.2759395600,1776908.6400000000
2021-02-28,ES,EVERSOURCE ENERGY COMMON STOCK USD5.0,0.2749561500,1770575.9600000000
2021-02-28,BLL,BALL CORP COMMON STOCK,0.2745959000,1768256.1200000000
2021-02-28,PEG,PUBLIC SERVICE ENTERPRISE GP COMMON STOCK,0.2739948800,1764385.9100000000
2021-02-28,DMH1,S+P MID 400 EMINI MAR21 XCME 20210319,0.0000000000,2993640.0000000000
2021-02-28,AZO,AUTOZONE INC COMMON STOCK USD.01,0.2727110800,1756118.8800000000
2021-02-28,AME,AMETEK INC COMMON STOCK USD.01,0.2724152500,1754213.9000000000
2021-02-28,SWK,STANLEY BLACK + DECKER INC COMMON STOCK USD2.5,0.2715395500,1748574.8400000000
2021-02-28,,SSC GOVERNMENT MM GVMXX,0.2702969100,1740572.8600000000
2021-02-28,FAST,FASTENAL CO COMMON STOCK USD.01,0.2674337300,1722135.4300000000
2021-02-28,KEYS,KEYSIGHT TECHNOLOGIES IN COMMON STOCK,0.2666019300,1716779.1200000000
2021-02-28,LYB,LYONDELLBASELL INDU CL A COMMON STOCK EUR.04,0.2662944500,1714799.0600000000
2021-02-28,MTD,METTLER TOLEDO INTERNATIONAL COMMON STOCK USD.01,0.2651697400,1707556.5000000000
2021-02-28,ZBRA,ZEBRA TECHNOLOGIES CORP CL A COMMON STOCK USD.01,0.2639279900,1699560.2900000000
2021-02-28,AMP,AMERIPRISE FINANCIAL INC COMMON STOCK USD.01,0.2629324800,1693149.7200000000
2021-02-28,OTIS,OTIS WORLDWIDE CORP COMMON STOCK USD.01,0.2619145600,1686594.8300000000
2021-02-28,ETSY,ETSY INC COMMON STOCK USD.001,0.2617796800,1685726.3100000000
2021-02-28,VRSK,VERISK ANALYTICS INC COMMON STOCK USD.001,0.2617738600,1685688.8000000000
2021-02-28,SIVB,SVB FINANCIAL GROUP COMMON STOCK USD.001,0.2615682600,1684364.8800000000
2021-02-28,AWK,AMERICAN WATER WORKS CO INC COMMON STOCK USD.01,0.2590398400,1668083.1600000000
2021-02-28,STT,STATE STREET CORP COMMON STOCK USD1.0,0.2580716500,1661848.4900000000
2021-02-28,VFC,VF CORP COMMON STOCK,0.2569718800,1654766.5600000000
2021-02-28,WEC,WEC ENERGY GROUP INC COMMON STOCK USD.01,0.2566160000,1652474.8800000000
2021-02-28,DHI,DR HORTON INC COMMON STOCK USD.01,0.2561265000,1649322.7200000000
2021-02-28,WY,WEYERHAEUSER CO REIT USD1.25,0.2548079800,1640832.1500000000
2021-02-28,CBRE,CBRE GROUP INC   A COMMON STOCK USD.01,0.2546734600,1639965.8800000000
2021-02-28,KR,KROGER CO COMMON STOCK USD1.0,0.2511380500,1617199.6800000000
2021-02-28,KKR,KKR + CO INC COMMON STOCK,0.2493902000,1605944.4400000000
2021-02-28,MXIM,MAXIM INTEGRATED PRODUCTS COMMON STOCK USD.001,0.2491628800,1604480.5700000000
2021-02-28,AVB,AVALONBAY COMMUNITIES INC REIT USD.01,0.2490718600,1603894.5000000000
2021-02-28,FITB,FIFTH THIRD BANCORP COMMON STOCK,0.2484896900,1600145.6300000000
2021-02-28,EQR,EQUITY RESIDENTIAL REIT USD.01,0.2421074600,1559047.3500000000
2021-02-28,YUMC,YUM CHINA HOLDINGS INC COMMON STOCK USD.01,0.2414421200,1554762.8800000000
2021-02-28,LBRDK,LIBERTY BROADBAND C COMMON STOCK USD.01,0.2404656700,1548475.0700000000
2021-02-28,COUP,COUPA SOFTWARE INC COMMON STOCK USD.0001,0.2396590500,1543280.8200000000
2021-02-28,TDOC,TELADOC HEALTH INC COMMON STOCK USD.001,0.2396134400,1542987.1100000000
2021-02-28,Z,ZILLOW GROUP INC   C COMMON STOCK,0.2349242900,1512791.4100000000
2021-02-28,LH,LABORATORY CRP OF AMER HLDGS COMMON STOCK USD.1,0.2343035200,1508793.9900000000
2021-02-28,DLTR,DOLLAR TREE INC COMMON STOCK USD.01,0.2320999300,1494604.0000000000
2021-02-28,BBY,BEST BUY CO INC COMMON STOCK USD.1,0.2307143800,1485681.7500000000
2021-02-28,AJG,ARTHUR J GALLAGHER + CO COMMON STOCK USD1.0,0.2304102000,1483723.0000000000
2021-02-28,FLT,FLEETCOR TECHNOLOGIES INC COMMON STOCK USD.001,0.2303062900,1483053.8800000000
2021-02-28,CLX,CLOROX COMPANY COMMON STOCK USD1.0,0.2301262100,1481894.2500000000
2021-02-28,SPLK,SPLUNK INC COMMON STOCK USD.001,0.2290119700,1474719.1200000000
2021-02-28,DTE,DTE ENERGY COMPANY COMMON STOCK,0.2277808300,1466791.2000000000
2021-02-28,SYF,SYNCHRONY FINANCIAL COMMON STOCK USD.001,0.2271670700,1462838.9200000000
2021-02-28,LEN,LENNAR CORP A COMMON STOCK USD.1,0.2264849900,1458446.6600000000
2021-02-28,FTNT,FORTINET INC COMMON STOCK USD.001,0.2261040400,1455993.5500000000
2021-02-28,CPRT,COPART INC COMMON STOCK,0.2255927800,1452701.2800000000
2021-02-28,OXY,OCCIDENTAL PETROLEUM CORP COMMON STOCK USD.2,0.2249716600,1448701.6200000000
2021-02-28,CDW,CDW CORP/DE COMMON STOCK USD.01,0.2241221400,1443231.1100000000
2021-02-28,VMC,VULCAN MATERIALS CO COMMON STOCK USD1.0,0.2223426700,1431772.2600000000
2021-02-28,ED,CONSOLIDATED EDISON INC COMMON STOCK USD.1,0.2215966700,1426968.4000000000
2021-02-28,EXPE,EXPEDIA GROUP INC COMMON STOCK USD.001,0.2191425300,1411165.0000000000
2021-02-28,HSY,HERSHEY CO/THE COMMON STOCK USD1.0,0.2165246900,1394307.4500000000
2021-02-28,URI,UNITED RENTALS INC COMMON STOCK USD.01,0.2156177500,1388467.2200000000
2021-02-28,ARE,ALEXANDRIA REAL ESTATE EQUIT REIT USD.01,0.2153011600,1386428.5800000000
2021-02-28,HUBS,HUBSPOT INC COMMON STOCK USD.001,0.2145738400,1381745.0000000000
2021-02-28,TER,TERADYNE INC COMMON STOCK USD.125,0.2142406600,1379599.4700000000
2021-02-28,O,REALTY INCOME CORP REIT USD1.0,0.2133131300,1373626.7000000000
2021-02-28,CERN,CERNER CORP COMMON STOCK USD.01,0.2118494500,1364201.3400000000
2021-02-28,TTWO,TAKE TWO INTERACTIVE SOFTWRE COMMON STOCK USD.01,0.2117735800,1363712.7800000000
2021-02-28,ODFL,OLD DOMINION FREIGHT LINE COMMON STOCK USD.1,0.2109850500,1358635.0200000000
2021-02-28,MLM,MARTIN MARIETTA MATERIALS COMMON STOCK USD.01,0.2108744700,1357922.9700000000
2021-02-28,MKC,MCCORMICK + CO NON VTG SHRS COMMON STOCK,0.2105859700,1356065.2000000000
2021-02-28,WDC,WESTERN DIGITAL CORP COMMON STOCK USD.01,0.2101825700,1353467.5000000000
2021-02-28,WST,WEST PHARMACEUTICAL SERVICES COMMON STOCK USD.25,0.2074535500,1335894.0000000000
2021-02-28,MKTX,MARKETAXESS HOLDINGS INC COMMON STOCK USD.003,0.2065085200,1329808.4800000000
2021-02-28,W,WAYFAIR INC  CLASS A COMMON STOCK USD.001,0.2060269100,1326707.1800000000
2021-02-28,EXAS,EXACT SCIENCES CORP COMMON STOCK USD.01,0.2037312900,1311924.5600000000
2021-02-28,PPL,PPL CORP COMMON STOCK USD.01,0.2032897000,1309080.9600000000
2021-02-28,GNRC,GENERAC HOLDINGS INC COMMON STOCK USD.01,0.2027672600,1305716.7200000000
2021-02-28,QRVO,QORVO INC COMMON STOCK USD.0001,0.2007656300,1292827.2700000000
2021-02-28,EPAM,EPAM SYSTEMS INC COMMON STOCK USD.001,0.1999901700,1287833.6700000000
2021-02-28,KSU,KANSAS CITY SOUTHERN COMMON STOCK USD.01,0.1996947100,1285931.0400000000
2021-02-28,RF,REGIONS FINANCIAL CORP COMMON STOCK USD.01,0.1996336400,1285537.8200000000
2021-02-28,VTR,VENTAS INC REIT USD.25,0.1988262600,1280338.7000000000
2021-02-28,MDB,MONGODB INC COMMON STOCK USD.001,0.1979547800,1274726.7900000000
2021-02-28,OKE,ONEOK INC COMMON STOCK USD.01,0.1976565000,1272806.0200000000
2021-02-28,VRSN,VERISIGN INC COMMON STOCK USD.001,0.1973900900,1271090.5300000000
2021-02-28,EFX,EQUIFAX INC COMMON STOCK USD1.25,0.1972379000,1270110.4800000000
2021-02-28,FTV,FORTIVE CORP COMMON STOCK USD.01,0.1971998200,1269865.2600000000
2021-02-28,KEY,KEYCORP COMMON STOCK USD1.0,0.1970500100,1268900.5600000000
2021-02-28,CHD,CHURCH + DWIGHT CO INC COMMON STOCK USD1.0,0.1970375000,1268820.0000000000
2021-02-28,IP,INTERNATIONAL PAPER CO COMMON STOCK USD1.0,0.1967037500,1266670.8000000000
2021-02-28,TSN,TYSON FOODS INC CL A COMMON STOCK USD.1,0.1959959800,1262113.1700000000
2021-02-28,KMX,CARMAX INC COMMON STOCK USD.5,0.1957596800,1260591.4800000000
2021-02-28,MTB,M + T BANK CORP COMMON STOCK USD.5,0.1946437900,1253405.7600000000
2021-02-28,EIX,EDISON INTERNATIONAL COMMON STOCK,0.1945137000,1252568.0000000000
2021-02-28,SGEN,SEAGEN INC COMMON STOCK USD.001,0.1928683900,1241973.0900000000
2021-02-28,HAL,HALLIBURTON CO COMMON STOCK USD2.5,0.1925261700,1239769.3600000000
2021-02-28,COO,COOPER COS INC/THE COMMON STOCK USD.1,0.1894227100,1219784.6700000000
2021-02-28,HPE,HEWLETT PACKARD ENTERPRISE COMMON STOCK USD.01,0.1891572200,1218075.0400000000
2021-02-28,RSG,REPUBLIC SERVICES INC COMMON STOCK USD.01,0.1882937700,1212514.9000000000
2021-02-28,ENPH,ENPHASE ENERGY INC COMMON STOCK USD.00001,0.1872837700,1206011.0000000000
2021-02-28,GRMN,GARMIN LTD COMMON STOCK CHF.1,0.1868537700,1203242.0400000000
2021-02-28,CFG,CITIZENS FINANCIAL GROUP COMMON STOCK USD.01,0.1864426600,1200594.7200000000
2021-02-28,TFX,TELEFLEX INC COMMON STOCK USD1.0,0.1862163600,1199137.4400000000
2021-02-28,HOLX,HOLOGIC INC COMMON STOCK USD.01,0.1861727600,1198856.7000000000
2021-02-28,TRMB,TRIMBLE INC COMMON STOCK,0.1861477300,1198695.5200000000
2021-02-28,CTLT,CATALENT INC COMMON STOCK USD.01,0.1860119500,1197821.1400000000
2021-02-28,PAYC,PAYCOM SOFTWARE INC COMMON STOCK USD.01,0.1856820600,1195696.8000000000
2021-02-28,TYL,TYLER TECHNOLOGIES INC COMMON STOCK USD.01,0.1850230000,1191452.8200000000
2021-02-28,TSCO,TRACTOR SUPPLY COMPANY COMMON STOCK USD.008,0.1850156100,1191405.2000000000
2021-02-28,IAC,IAC/INTERACTIVECORP COMMON STOCK USD.001,0.1848918500,1190608.2900000000
2021-02-28,NTRS,NORTHERN TRUST CORP COMMON STOCK USD1.667,0.1840558200,1185224.6700000000
2021-02-28,HIG,HARTFORD FINANCIAL SVCS GRP COMMON STOCK USD.01,0.1825222100,1175349.0300000000
2021-02-28,NUE,NUCOR CORP COMMON STOCK USD.4,0.1813973000,1168105.1400000000
2021-02-28,HES,HESS CORP COMMON STOCK USD1.0,0.1812293700,1167023.7700000000
2021-02-28,FE,FIRSTENERGY CORP COMMON STOCK USD.1,0.1809310800,1165102.9800000000
2021-02-28,VTRS,VIATRIS INC COMMON STOCK,0.1804673000,1162116.4500000000
2021-02-28,ALB,ALBEMARLE CORP COMMON STOCK USD.01,0.1804153500,1161781.9000000000
2021-02-28,DRI,DARDEN RESTAURANTS INC COMMON STOCK,0.1798441800,1158103.8900000000
2021-02-28,XYL,XYLEM INC COMMON STOCK,0.1792996400,1154597.3200000000
2021-02-28,MGM,MGM RESORTS INTERNATIONAL COMMON STOCK USD.01,0.1790943300,1153275.2200000000
2021-02-28,HZNP,HORIZON THERAPEUTICS PLC COMMON STOCK USD.0001,0.1785169100,1149556.9500000000
2021-02-28,DOV,DOVER CORP COMMON STOCK USD1.0,0.1783010500,1148166.9000000000
2021-02-28,AES,AES CORP COMMON STOCK USD.01,0.1768154800,1138600.6400000000
2021-02-28,ETR,ENTERGY CORP COMMON STOCK USD.01,0.1756560200,1131134.3000000000
2021-02-28,ULTA,ULTA BEAUTY INC COMMON STOCK USD.01,0.1747929200,1125576.3600000000
2021-02-28,AEE,AMEREN CORPORATION COMMON STOCK USD.01,0.1742813600,1122282.1700000000
2021-02-28,STNE,STONECO LTD A COMMON STOCK USD.000079365,0.1742188900,1121879.9400000000
2021-02-28,AMCR,AMCOR PLC COMMON STOCK USD.01,0.1736575100,1118264.9200000000
2021-02-28,RCL,ROYAL CARIBBEAN CRUISES LTD COMMON STOCK USD.01,0.1723605300,1109913.0000000000
2021-02-28,ALNY,ALNYLAM PHARMACEUTICALS INC COMMON STOCK USD.01,0.1720995300,1108232.3000000000
2021-02-28,PODD,INSULET CORP COMMON STOCK USD.001,0.1711645300,1102211.4000000000
2021-02-28,ZEN,ZENDESK INC COMMON STOCK USD.01,0.1698446000,1093711.7600000000
2021-02-28,BURL,BURLINGTON STORES INC COMMON STOCK USD.0001,0.1693718500,1090667.4800000000
2021-02-28,WAT,WATERS CORP COMMON STOCK USD.01,0.1687218700,1086481.9600000000
2021-02-28,ESS,ESSEX PROPERTY TRUST INC REIT USD.0001,0.1672885500,1077252.1200000000
2021-02-28,GWW,WW GRAINGER INC COMMON STOCK USD.5,0.1670383700,1075641.0600000000
2021-02-28,CAG,CONAGRA BRANDS INC COMMON STOCK USD5.0,0.1666233300,1072968.3900000000
2021-02-28,CTXS,CITRIX SYSTEMS INC COMMON STOCK USD.001,0.1658059500,1067704.9400000000
2021-02-28,ANET,ARISTA NETWORKS INC COMMON STOCK USD.0001,0.1653969300,1065071.0400000000
2021-02-28,INVH,INVITATION HOMES INC REIT USD.01,0.1646270200,1060113.2000000000
2021-02-28,ON,ON SEMICONDUCTOR CORP COMMON STOCK USD.01,0.1644635800,1059060.7300000000
2021-02-28,BR,BROADRIDGE FINANCIAL SOLUTIO COMMON STOCK USD.01,0.1642085200,1057418.2900000000
2021-02-28,MPWR,MONOLITHIC POWER SYSTEMS INC COMMON STOCK USD.001,0.1641273300,1056895.4400000000
2021-02-28,CE,CELANESE CORP COMMON STOCK USD.0001,0.1628871600,1048909.4100000000
2021-02-28,SUI,SUN COMMUNITIES INC REIT USD.01,0.1618491300,1042225.0500000000
2021-02-28,BKR,BAKER HUGHES CO COMMON STOCK USD.0001,0.1617862100,1041819.8400000000
2021-02-28,IR,INGERSOLL RAND INC COMMON STOCK USD.01,0.1616488600,1040935.4200000000
2021-02-28,TRU,TRANSUNION COMMON STOCK USD.01,0.1610841200,1037298.7800000000
2021-02-28,VAR,VARIAN MEDICAL SYSTEMS INC COMMON STOCK USD1.0,0.1600963700,1030938.1400000000
2021-02-28,EXR,EXTRA SPACE STORAGE INC REIT USD.01,0.1595775900,1027597.5000000000
2021-02-28,CVNA,CARVANA CO COMMON STOCK USD.001,0.1593714400,1026270.0000000000
2021-02-28,NDAQ,NASDAQ INC COMMON STOCK USD.01,0.1593468800,1026111.8000000000
2021-02-28,PEAK,HEALTHPEAK PROPERTIES INC REIT USD1.0,0.1579162200,1016899.1300000000
2021-02-28,WORK,SLACK TECHNOLOGIES INC  CL A COMMON STOCK USD.0001,0.1571100400,1011707.7400000000
2021-02-28,LNG,CHENIERE ENERGY INC COMMON STOCK USD.003,0.1570187000,1011119.5600000000
2021-02-28,EXPD,EXPEDITORS INTL WASH INC COMMON STOCK USD.01,0.1561262300,1005372.4800000000
2021-02-28,ALLY,ALLY FINANCIAL INC COMMON STOCK USD.1,0.1560176800,1004673.5000000000
2021-02-28,HBAN,HUNTINGTON BANCSHARES INC COMMON STOCK USD.01,0.1559945500,1004524.5600000000
2021-02-28,IT,GARTNER INC COMMON STOCK USD.0005,0.1559496400,1004235.3600000000
2021-02-28,CMS,CMS ENERGY CORP COMMON STOCK USD.01,0.1556459200,1002279.5300000000
2021-02-28,DGX,QUEST DIAGNOSTICS INC COMMON STOCK USD.01,0.1555743300,1001818.5300000000
2021-02-28,BXP,BOSTON PROPERTIES INC REIT USD.01,0.1552339900,999626.9200000000
2021-02-28,PFG,PRINCIPAL FINANCIAL GROUP COMMON STOCK USD.01,0.1546760900,996034.3200000000
2021-02-28,MAA,MID AMERICA APARTMENT COMM REIT USD.01,0.1544497500,994576.8600000000
2021-02-28,UAL,UNITED AIRLINES HOLDINGS INC COMMON STOCK USD.01,0.1538477200,990700.0800000000
2021-02-28,VICI,VICI PROPERTIES INC REIT USD.01,0.1533590800,987553.5000000000
2021-02-28,NVR,NVR INC COMMON STOCK USD.01,0.1530687600,985683.9600000000
2021-02-28,AKAM,AKAMAI TECHNOLOGIES INC COMMON STOCK USD.01,0.1521513000,979776.0000000000
2021-02-28,CAH,CARDINAL HEALTH INC COMMON STOCK,0.1517481400,977179.8400000000
2021-02-28,NVCR,NOVOCURE LTD COMMON STOCK,0.1511726400,973473.9000000000
2021-02-28,ELAN,ELANCO ANIMAL HEALTH INC COMMON STOCK,0.1503159100,967957.0200000000
2021-02-28,SSNC,SS+C TECHNOLOGIES HOLDINGS COMMON STOCK USD.01,0.1499035900,965301.9200000000
2021-02-28,EMN,EASTMAN CHEMICAL CO COMMON STOCK USD.01,0.1490907500,960067.6200000000
2021-02-28,ZS,ZSCALER INC COMMON STOCK USD.001,0.1490407100,959745.4300000000
2021-02-28,GPC,GENUINE PARTS CO COMMON STOCK USD1.0,0.1489742000,959317.1000000000
2021-02-28,ABC,AMERISOURCEBERGEN CORP COMMON STOCK USD.01,0.1485255100,956427.7800000000
2021-02-28,MKL,MARKEL CORP COMMON STOCK,0.1481157000,953788.8000000000
2021-02-28,IEX,IDEX CORP COMMON STOCK USD.01,0.1479955500,953015.1100000000
2021-02-28,STE,STERIS PLC COMMON STOCK USD75.0,0.1479132600,952485.2000000000
2021-02-28,CINF,CINCINNATI FINANCIAL CORP COMMON STOCK USD2.0,0.1475006700,949828.3500000000
2021-02-28,OMC,OMNICOM GROUP COMMON STOCK USD.15,0.1471089100,947305.5900000000
2021-02-28,AVY,AVERY DENNISON CORP COMMON STOCK USD1.0,0.1467637200,945082.7400000000
2021-02-28,SEDG,SOLAREDGE TECHNOLOGIES INC COMMON STOCK USD.0001,0.1466653700,944449.4600000000
2021-02-28,DDOG,DATADOG INC   CLASS A COMMON STOCK USD.00001,0.1463860600,942650.8000000000
2021-02-28,K,KELLOGG CO COMMON STOCK USD.25,0.1458996800,939518.8000000000
2021-02-28,DRE,DUKE REALTY CORP REIT USD.01,0.1455352800,937172.2500000000
2021-02-28,J,JACOBS ENGINEERING GROUP INC COMMON STOCK USD1.0,0.1449873800,933644.0400000000
2021-02-28,ABMD,ABIOMED INC COMMON STOCK USD.01,0.1445975800,931133.9500000000
2021-02-28,RJF,RAYMOND JAMES FINANCIAL INC COMMON STOCK USD.01,0.1442325700,928783.4400000000
2021-02-28,INCY,INCYTE CORP COMMON STOCK USD.001,0.1442011800,928581.3000000000
2021-02-28,PTC,PTC INC COMMON STOCK USD.01,0.1437347100,925577.4600000000
2021-02-28,ENTG,ENTEGRIS INC COMMON STOCK USD.01,0.1418324600,913328.0100000000
2021-02-28,ACGL,ARCH CAPITAL GROUP LTD COMMON STOCK USD.01,0.1417506300,912801.0600000000
2021-02-28,PKI,PERKINELMER INC COMMON STOCK USD1.0,0.1412360100,909487.1700000000
2021-02-28,BMRN,BIOMARIN PHARMACEUTICAL INC COMMON STOCK USD.001,0.1407919900,906627.8700000000
2021-02-28,MAS,MASCO CORP COMMON STOCK USD1.0,0.1407384900,906283.3800000000
2021-02-28,CRL,CHARLES RIVER LABORATORIES COMMON STOCK USD.01,0.1405930700,905346.9600000000
2021-02-28,DISCK,DISCOVERY INC C COMMON STOCK USD.01,0.1403217800,903600.0000000000
2021-02-28,PCG,P G + E CORP COMMON STOCK,0.1400814300,902052.2800000000
2021-02-28,NTAP,NETAPP INC COMMON STOCK USD.001,0.1394322400,897871.8000000000
2021-02-28,CGNX,COGNEX CORP COMMON STOCK USD.002,0.1392599300,896762.2200000000
2021-02-28,AVTR,AVANTOR INC COMMON STOCK USD.01,0.1388417900,894069.6000000000
2021-02-28,LYFT,LYFT INC A COMMON STOCK USD.00001,0.1384048100,891255.7000000000
2021-02-28,TECH,BIO TECHNE CORP COMMON STOCK USD.01,0.1382283100,890119.0900000000
2021-02-28,CCL,CARNIVAL CORP COMMON STOCK USD.01,0.1377029000,886735.7500000000
2021-02-28,WYNN,WYNN RESORTS LTD COMMON STOCK USD.01,0.1375093000,885489.0600000000
2021-02-28,GDDY,GODADDY INC   CLASS A COMMON STOCK USD.001,0.1372725700,883964.6400000000
2021-02-28,DPZ,DOMINO S PIZZA INC COMMON STOCK USD.01,0.1358707700,874937.7500000000
2021-02-28,TDY,TELEDYNE TECHNOLOGIES INC COMMON STOCK USD.01,0.1353336500,871479.0000000000
2021-02-28,LUMN,LUMEN TECHNOLOGIES INC COMMON STOCK USD1.0,0.1352981500,871250.3900000000
2021-02-28,FMC,FMC CORP COMMON STOCK USD.1,0.1324918200,853179.1000000000
2021-02-28,WAB,WABTEC CORP COMMON STOCK USD.01,0.1318691400,849169.3200000000
2021-02-28,POOL,POOL CORP COMMON STOCK USD.001,0.1305395500,840607.4700000000
2021-02-28,HRL,HORMEL FOODS CORP COMMON STOCK USD.01465,0.1303360500,839297.0000000000
2021-02-28,BF.B,BROWN FORMAN CORP CLASS B COMMON STOCK USD.15,0.1301993200,838416.5400000000
2021-02-28,AVLR,AVALARA INC COMMON STOCK USD.0001,0.1301926300,838373.4800000000
2021-02-28,FICO,FAIR ISAAC CORP COMMON STOCK USD.01,0.1288205800,829538.1500000000
2021-02-28,MOH,MOLINA HEALTHCARE INC COMMON STOCK USD.001,0.1281477200,825205.3200000000
2021-02-28,DVN,DEVON ENERGY CORP COMMON STOCK USD.1,0.1277350600,822547.9800000000
2021-02-28,LYV,LIVE NATION ENTERTAINMENT IN COMMON STOCK USD.01,0.1267736200,816356.8200000000
2021-02-28,CHGG,CHEGG INC COMMON STOCK USD.001,0.1264434300,814230.5500000000
2021-02-28,NUAN,NUANCE COMMUNICATIONS INC COMMON STOCK USD.001,0.1260743400,811853.8000000000
2021-02-28,LB,L BRANDS INC COMMON STOCK USD.5,0.1260421200,811646.3400000000
2021-02-28,CREE,CREE INC COMMON STOCK USD.00125,0.1259612500,811125.5400000000
2021-02-28,CCK,CROWN HOLDINGS INC COMMON STOCK USD5.0,0.1245792500,802226.2000000000
2021-02-28,SJM,JM SMUCKER CO/THE COMMON STOCK,0.1244795200,801584.0000000000
2021-02-28,PKG,PACKAGING CORP OF AMERICA COMMON STOCK USD.01,0.1243629500,800833.3200000000
2021-02-28,MTN,VAIL RESORTS INC COMMON STOCK USD.01,0.1242100400,799848.6600000000
2021-02-28,BIO,BIO RAD LABORATORIES A COMMON STOCK USD.0001,0.1241708000,799596.0000000000
2021-02-28,JBHT,HUNT (JB) TRANSPRT SVCS INC COMMON STOCK USD.01,0.1238687500,797650.9700000000
2021-02-28,MASI,MASIMO CORP COMMON STOCK USD.001,0.1232335300,793560.4500000000
2021-02-28,MPW,MEDICAL PROPERTIES TRUST INC REIT USD.001,0.1223285300,787732.7400000000
2021-02-28,EVRG,EVERGY INC COMMON STOCK,0.1220929600,786215.8000000000
2021-02-28,SBNY,SIGNATURE BANK COMMON STOCK USD.01,0.1217580200,784058.9400000000
2021-02-28,GH,GUARDANT HEALTH INC COMMON STOCK USD.00001,0.1215703500,782850.4200000000
2021-02-28,BILL,BILL.COM HOLDINGS INC COMMON STOCK USD.00001,0.1213586800,781487.3600000000
2021-02-28,UDR,UDR INC REIT USD.01,0.1213269500,781283.0900000000
2021-02-28,PHM,PULTEGROUP INC COMMON STOCK USD.01,0.1212813500,780989.4300000000
2021-02-28,CHRW,C.H. ROBINSON WORLDWIDE INC COMMON STOCK USD.1,0.1211336200,780038.1000000000
2021-02-28,WPC,WP CAREY INC REIT USD.001,0.1199865300,772651.4200000000
2021-02-28,LKQ,LKQ CORP COMMON STOCK USD.01,0.1199289000,772280.3400000000
2021-02-28,HAS,HASBRO INC COMMON STOCK USD.5,0.1198245100,771608.1400000000
2021-02-28,LDOS,LEIDOS HOLDINGS INC COMMON STOCK USD.0001,0.1196917600,770753.3000000000
2021-02-28,EQH,EQUITABLE HOLDINGS INC COMMON STOCK USD.01,0.1193088800,768287.7400000000
2021-02-28,NLY,ANNALY CAPITAL MANAGEMENT IN REIT USD.01,0.1176836600,757822.1400000000
2021-02-28,TPR,TAPESTRY INC COMMON STOCK USD.01,0.1176153400,757382.2200000000
2021-02-28,LW,LAMB WESTON HOLDINGS INC COMMON STOCK USD1.0,0.1170507800,753746.7300000000
2021-02-28,BKI,BLACK KNIGHT INC COMMON STOCK,0.1166996000,751485.3100000000
2021-02-28,XRAY,DENTSPLY SIRONA INC COMMON STOCK USD.01,0.1166644400,751258.9200000000
2021-02-28,HST,HOST HOTELS + RESORTS INC REIT USD.01,0.1166365100,751079.0700000000
2021-02-28,WHR,WHIRLPOOL CORP COMMON STOCK USD1.0,0.1165366300,750435.8400000000
2021-02-28,FFIV,F5 NETWORKS INC COMMON STOCK,0.1164458100,749851.0600000000
